timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668843162359,7151,HTTP Request,200,,client-to-application 1-8,text,true,,11329471,128,10,10,http://172.31.37.100/sensing/data,5036,0,13
1668843162359,7789,HTTP Request,200,,client-to-application 1-7,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,6099,0,13
1668843162347,7800,HTTP Request,200,,client-to-application 1-9,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,6105,0,29
1668843162351,7834,HTTP Request,200,,client-to-application 1-5,text,true,,11329471,128,7,7,http://172.31.37.100/sensing/data,6044,0,22
1668843162352,7875,HTTP Request,200,,client-to-application 1-6,text,true,,11329471,128,6,6,http://172.31.37.100/sensing/data,6132,0,20
1668843162348,7891,HTTP Request,200,,client-to-application 1-4,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,6107,0,24
1668843162351,7969,HTTP Request,200,,client-to-application 1-10,text,true,,11329471,128,4,4,http://172.31.37.100/sensing/data,6024,0,22
1668843162353,7990,HTTP Request,200,,client-to-application 1-3,text,true,,11329471,128,3,3,http://172.31.37.100/sensing/data,6210,0,20
1668843162360,7987,HTTP Request,200,,client-to-application 1-2,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,6136,0,13
1668843162343,8051,HTTP Request,200,,client-to-application 1-1,text,true,,11329471,128,1,1,http://172.31.37.100/sensing/data,6486,0,29
